order_book_id,date,high,prev_close,volume,open,low,close,total_turnover
399808.XSHE,2012-01-04,1008.682,,313324235.0,1008.244,971.508,971.508,3575284470.0
399808.XSHE,2012-01-05,967.808,971.508,366107258.0,967.808,931.532,933.958,3964044829.0
399808.XSHE,2012-01-06,944.923,933.958,334496748.0,933.611,918.541,944.923,3582019016.0
399808.XSHE,2012-01-09,987.543,944.923,475746279.0,946.385,935.717,987.543,5202256864.0
399808.XSHE,2012-01-10,1034.277,987.543,735714011.0,986.992,986.992,1033.679,8195766102.0
399808.XSHE,2012-01-11,1046.489,1033.679,648765327.0,1033.374,1028.879,1040.015,7445311467.0
399808.XSHE,2012-01-12,1055.719,1040.015,592924881.0,1036.417,1036.388,1040.192,7161271211.0
399808.XSHE,2012-01-13,1039.331,1040.192,559680294.0,1039.331,996.296,1005.84,6597787490.0
399808.XSHE,2012-01-16,994.842,1005.84,354899331.0,993.375,960.943,961.044,4229133249.0
399808.XSHE,2012-01-17,1023.229,961.044,597034815.0,961.562,961.562,1023.229,6891024553.0
399808.XSHE,2012-01-18,1042.034,1023.229,719144564.0,1028.52,1000.914,1005.518,8254780285.0
399808.XSHE,2012-01-19,1022.299,1005.518,510614608.0,1003.725,1001.043,1020.143,5826104206.0
399808.XSHE,2012-01-20,1032.616,1020.143,421243577.0,1023.599,1019.312,1029.934,4994996877.0
399808.XSHE,2012-01-30,1036.633,1029.934,361783362.0,1034.606,1022.388,1022.388,4315829017.0
399808.XSHE,2012-01-31,1021.105,1022.388,327525262.0,1020.754,1012.199,1021.105,4089915624.0
399808.XSHE,2012-02-01,1030.979,1021.105,335094208.0,1019.466,1007.402,1007.875,4121804210.0
399808.XSHE,2012-02-02,1031.428,1007.875,389072217.0,1009.5,1007.573,1031.428,4607741394.0
399808.XSHE,2012-02-03,1050.953,1031.428,591775305.0,1029.894,1029.288,1049.374,7361874131.0
399808.XSHE,2012-02-06,1063.203,1049.374,591614442.0,1052.586,1052.22,1060.463,7195083738.0
399808.XSHE,2012-02-07,1053.645,1060.463,431612023.0,1053.645,1031.89,1038.946,5208067118.0
399808.XSHE,2012-02-08,1071.749,1038.946,594846454.0,1037.633,1035.89,1071.749,7452505309.0
399808.XSHE,2012-02-09,1088.614,1071.749,717340289.0,1070.751,1069.957,1077.245,8906301473.0
399808.XSHE,2012-02-10,1083.967,1077.245,578719259.0,1073.978,1071.766,1079.869,6931724081.0
399808.XSHE,2012-02-13,1095.686,1079.869,606808474.0,1069.8010000000004,1067.197,1091.965,7416856402.0
399808.XSHE,2012-02-14,1092.702,1091.965,483803051.0,1090.686,1081.567,1087.964,5905631478.0
399808.XSHE,2012-02-15,1104.617,1087.964,659771970.0,1086.408,1082.9489999999996,1104.105,7992025793.0
399808.XSHE,2012-02-16,1110.997,1104.105,680142763.0,1103.049,1092.444,1104.119,8067462968.0
399808.XSHE,2012-02-17,1112.01,1104.119,545716416.0,1108.507,1095.015,1101.758,6707674039.0
399808.XSHE,2012-02-20,1117.058,1101.758,624940781.0,1116.447,1103.198,1103.198,8048433383.0
399808.XSHE,2012-02-21,1120.122,1103.198,680456474.0,1102.048,1089.168,1120.122,8454240392.0
399808.XSHE,2012-02-22,1139.122,1120.122,801286305.0,1119.985,1119.657,1139.122,10411552008.0
399808.XSHE,2012-02-23,1144.477,1139.122,753597922.0,1137.315,1127.973,1137.169,9640253612.0
399808.XSHE,2012-02-24,1149.839,1137.169,779954493.0,1136.624,1134.92,1149.839,10118440482.0
399808.XSHE,2012-02-27,1169.183,1149.839,1008269745.0,1155.232,1149.755,1150.884,13270449061.0
